Passenger_Class_Record_ID,Year,Passenger_Class,Passengers,Passenger_KM,Earnings,Average_Lead,Average_Fare,Rate_Per_Passenger_KM
1,2019,AC First,3600731,558534783,344807022,155.1170535501656,95.7602836757314,0.6173420748013505
2,2019,AC 2 Tier,8741805,2582346041,772310182,295.4019269282654,88.34676385483318,0.2990730790875547
3,2019,AC 3 Tier,13563169,3909093808,1059497212,288.2138981587694,78.11575687068412,0.2710339694571294
4,2019,Sleeper,12252049,7577945031,1298141097,618.5043033753557,105.9529795383613,0.1713051614356528
5,2019,Second Class,4480445,2523226764,622158712,563.164320612647,138.8609193952833,0.2465726508458868
6,2020,AC First,4560204,2178805254,635081415,477.7867951856134,139.2660098100874,0.2914814959588504
7,2020,AC 2 Tier,8154860,2844275514,982549460,348.7828748574146,120.4863676384389,0.3454480604522076
8,2020,AC 3 Tier,10339192,5903879867,1608476823,571.0194633993358,155.5708437371121,0.2724440298601792
9,2020,Sleeper,7364238,2291145292,671217247,311.1177683994957,91.14551254318503,0.2929614499746225
10,2020,Second Class,15404138,8868299542,944333103,575.708912924526,61.30385893712456,0.1064841234187412
11,2021,AC First,8607064,4923659053,594026356,572.0486165192733,69.01614255453427,0.1206473375890229
12,2021,AC 2 Tier,10758067,3151940453,1319030415,292.98390253449,122.6084960244252,0.4184820222673898
13,2021,AC 3 Tier,14432507,8904577751,1527716060,616.9806639620174,105.8524385264459,0.1715652446005381
14,2021,Sleeper,12531316,7349694629,1083117897,586.5062081096402,86.43289316142055,0.147369101923066
15,2021,Second Class,8403277,2400151403,1414925121,285.620883786964,168.3777794067719,0.5895149443356523
16,2022,AC First,3437361,2193946464,427517650,638.2647807042516,124.3738001332999,0.194862389236122
17,2022,AC 2 Tier,14317241,4249811712,2315004854,296.8317507683157,161.693503238508,0.5447311577012315
18,2022,AC 3 Tier,14573485,6709531502,1821163247,460.3930702032692,124.9641555880423,0.2714292713677663
19,2022,Sleeper,9088020,1411128066,595304321,155.2734332251783,65.50429257418007,0.4218641348593448
20,2022,Second Class,10610550,6227762023,1218564689,586.9405472818239,114.8446300144667,0.1956665467163972
21,2023,AC First,11140652,1940462820,1792789936,174.1785688125124,160.9232508115324,0.9238981116256147
22,2023,AC 2 Tier,8368600,4950073854,740501347,591.5056108405553,88.48569019907751,0.1495939997480928
23,2023,AC 3 Tier,4271763,1845084574,314817164,431.9257821132932,73.69724490801573,0.1706247877758895
24,2023,Sleeper,6945268,4176262503,1185223850,601.3104899047166,170.6519964384384,0.2838001320507144
25,2023,Second Class,3996746,2630722988,623909402,658.216205934715,156.104341381714,0.2371627133671594
26,2024,AC First,10398810,6375574023,1760313879,613.1061172884808,169.2803194788634,0.2761028061953149
27,2024,AC 2 Tier,6825307,1740904712,994471883,255.0661402711354,145.7036120133497,0.5712385495717571
28,2024,AC 3 Tier,16084660,10187951222,1850650663,633.3954974644954,115.0568717647746,0.181650915147568
29,2024,Sleeper,15650924,4575205952,2735062730,292.3281688017429,174.7540739447716,0.5978010078915448
30,2024,Second Class,6579612,1901391300,557174345,288.9822836034822,84.68194553113466,0.293035076320901
