Passenger_Traffic_ID,Year,Railway_Zone,Passenger_Category,Passengers_Originating,Passenger_KM,Average_Lead_KM,Passenger_Earnings,Average_Rate_Per_Passenger_KM
1,2019,CR,All Classes,32482181,10915195637,336.0364144736701,3737741290,0.3424346584453528
2,2019,ER,All Classes,37685241,15470153812,410.5096160171064,4456648583,0.2880804313284482
3,2019,ECR,All Classes,23815191,13647988953,573.0791306104445,1956051176,0.1433215679357508
4,2019,ECoR,All Classes,44232826,9872697033,223.1984235834602,3099731716,0.3139701041543951
5,2019,NR,All Classes,14914502,3875919930,259.8759201365876,868457626,0.2240649036986345
6,2019,NCR,All Classes,12852089,5138781005,399.8401353948494,1150107947,0.2238094882204529
7,2019,NER,All Classes,29023574,17552011731,604.7501845110883,2645164010,0.1507043209882893
8,2019,NFR,All Classes,36637025,9074210308,247.6786886575291,1835538080,0.2022807514521035
9,2019,NWR,All Classes,17003331,4417314262,259.7911116575478,1288124740,0.2916081273575781
10,2019,SCR,All Classes,15407072,5758497913,373.7567990215313,1759500754,0.3055485615482313
11,2019,SECR,All Classes,34057819,8851381499,259.8927870083114,2041964078,0.2306943925254492
12,2019,SER,All Classes,30341782,10260556567,338.1659181362024,3235470227,0.3153308697811079
13,2019,SWR,All Classes,18206169,2310055775,126.883133704278,1159849462,0.5020872111904653
14,2019,SR,All Classes,17444187,5580940319,319.9312366849692,1568808516,0.2811011095054063
15,2019,WCR,All Classes,19607046,3892698954,198.5357179525768,1000226555,0.2569493728338935
16,2019,WR,All Classes,32807944,9252379546,282.0164392529494,2375254854,0.256718268221468
17,2020,CR,All Classes,33745822,6928870908,205.3252965276013,2822989835,0.4074242213761289
18,2020,ER,All Classes,36951150,22388527567,605.8952851816042,1674102733,0.074775026092592
19,2020,ECR,All Classes,11445242,2290905339,200.162245542502,1298683132,0.5668864224154025
20,2020,ECoR,All Classes,37926881,14596184034,384.8506296710913,2153857182,0.1475630327034128
21,2020,NR,All Classes,39303219,23055987144,586.6182905939766,3952201879,0.1714175955342735
22,2020,NCR,All Classes,17119207,2345014724,136.9815041106616,1826215235,0.7787649332335167
23,2020,NER,All Classes,21447939,7232673459,337.2199753035168,2244295178,0.3102995303805294
24,2020,NFR,All Classes,29278184,10866209076,371.1367165486417,3166847228,0.2914399314215986
25,2020,NWR,All Classes,11045678,5129123101,464.3556603398559,1324721762,0.2582745112101086
26,2020,SCR,All Classes,35571224,22731492647,639.0416210554254,3571387789,0.1571118907289262
27,2020,SECR,All Classes,13312721,6422514580,482.4344009474451,835910736,0.1301531861870673
28,2020,SER,All Classes,24863676,3391175131,136.3907384975739,1947063040,0.5741558499792527
29,2020,SWR,All Classes,14551621,6558256053,450.6890368946493,839197405,0.1279604513947982
30,2020,SR,All Classes,31347223,17254290028,550.4248343792749,3225805453,0.1869567190397577
31,2020,WCR,All Classes,13594104,5133675976,377.6398927444301,652441443,0.1270904992805377
32,2020,WR,All Classes,31176329,13760895999,441.3892347529205,1729716702,0.1256979706870678
33,2021,CR,All Classes,20754033,4069379895,196.0765840490424,2226071773,0.547029726876363
34,2021,ER,All Classes,45812157,29541006200,644.8289741256839,3808108503,0.1289092347469717
35,2021,ECR,All Classes,13099236,7435438405,567.6238221580384,1132429142,0.1523015967876788
36,2021,ECoR,All Classes,9174578,1377322445,150.1237926241521,1119206408,0.8125957810337061
37,2021,NR,All Classes,29577825,18452143783,623.8505969842067,2932133888,0.1589047821415251
38,2021,NCR,All Classes,42932123,11805269265,274.9752036509226,2044522711,0.173187300102143
39,2021,NER,All Classes,32796188,7834341398,238.8796343838216,2483889152,0.3170514310796508
40,2021,NFR,All Classes,32678225,11375808676,348.1158684976447,4032370164,0.3544688802837164
41,2021,NWR,All Classes,31186792,10154354702,325.5979230608363,3585524734,0.3531021752911375
42,2021,SCR,All Classes,17982037,11312321127,629.0900818011087,1865483718,0.1649072455608812
43,2021,SECR,All Classes,32130139,15484828181,481.9409023256903,1680401045,0.1085191921603971
44,2021,SER,All Classes,21383161,4066538153,190.1747900305623,2643819143,0.6501400068784471
45,2021,SWR,All Classes,18682461,5310557584,284.2536421943042,2102452514,0.3959005209123131
46,2021,SR,All Classes,25505226,8406091755,329.583111938883,2646017897,0.314773853756615
47,2021,WCR,All Classes,30990269,9125988018,294.4791482407655,2868148532,0.3142836179566285
48,2021,WR,All Classes,31981142,8505851870,265.9646072157038,3558467945,0.4183552687307622
49,2022,CR,All Classes,20082245,2517294423,125.3492536923799,1093764402,0.4344999901131884
50,2022,ER,All Classes,11112722,4004232597,360.3286932903707,749604585,0.1872030574676943
51,2022,ECR,All Classes,41375594,25248126179,610.2178540230673,2510877588,0.0994480766666865
52,2022,ECoR,All Classes,32338212,7992431339,247.1513063211295,3046459732,0.3811680829581041
53,2022,NR,All Classes,41553408,23468970566,564.7905116936589,2067814293,0.0881084360774337
54,2022,NCR,All Classes,42581698,27264397932,640.2844229544057,4088291734,0.14994982629524
55,2022,NER,All Classes,41177350,10576422208,256.8504823252229,4483628194,0.4239267405994645
56,2022,NFR,All Classes,41150184,11750062312,285.5409422313161,5108033805,0.4347239758575813
57,2022,NWR,All Classes,43803391,23833542922,544.10269110657,2729685105,0.1145312349848292
58,2022,SCR,All Classes,22052977,10560110012,478.8519034114386,2434253795,0.2305140564024202
59,2022,SECR,All Classes,25857050,15652728735,605.3563239198311,2775365381,0.1773087253931178
60,2022,SER,All Classes,37868644,24569206428,648.8007975222251,3927580325,0.1598578422328849
61,2022,SWR,All Classes,35745708,5040501447,141.0099765779259,3774397493,0.748813889264213
62,2022,SR,All Classes,41737136,22216228560,532.2892438251486,3497341126,0.1574228099255499
63,2022,WCR,All Classes,18920978,9927008234,524.6561903313144,1390912978,0.1401140147260948
64,2022,WR,All Classes,19846795,6279468868,316.3971244983861,2440640877,0.3886699541166015
65,2023,CR,All Classes,26298109,4669737733,177.5693352396833,2361988615,0.5058075527907866
66,2023,ER,All Classes,21537316,9447751223,438.6689234421132,2491396992,0.2637026455342217
67,2023,ECR,All Classes,34251646,5214799390,152.2495996260042,3531243518,0.677158075294356
68,2023,ECoR,All Classes,22868918,14579393075,637.5200206427512,2324599418,0.159444183030936
69,2023,NR,All Classes,26105361,12356574903,473.3347645730258,2586125869,0.2092914816035379
70,2023,NCR,All Classes,48050658,16376623305,340.8199593434369,3507394466,0.2141707970237127
71,2023,NER,All Classes,36380030,20049217845,551.1050388113854,2533030369,0.1263406078266483
72,2023,NFR,All Classes,15330501,4316846088,281.58545425902,1678386064,0.3887991440383763
73,2023,NWR,All Classes,22965903,4107958065,178.8720463154212,1563475710,0.3805968038685872
74,2023,SCR,All Classes,38766020,15012577765,387.2612603950254,1794410149,0.1195271176612939
75,2023,SECR,All Classes,46753346,12583176174,269.1395857411105,4560732986,0.3624468832646742
76,2023,SER,All Classes,48616763,21845198873,449.3347052720259,3858981694,0.1766512502943271
77,2023,SWR,All Classes,27989172,11564578704,413.1804508119138,3249877716,0.2810199834298915
78,2023,SR,All Classes,31324263,19607191000,625.9426119700001,1720544027,0.0877506638751875
79,2023,WCR,All Classes,20655141,7098394057,343.662338472009,1378995689,0.1942686863851039
80,2023,WR,All Classes,33692618,14963491234,444.1177956217734,3640351354,0.2432822191597064
81,2024,CR,All Classes,12398778,7504864797,605.2906825075036,655551758,0.0873502422302488
82,2024,ER,All Classes,42946927,7949030701,185.089627044715,4465978808,0.5618268410204793
83,2024,ECR,All Classes,39499463,16912209480,428.1630228967586,2203158957,0.1302703209471797
84,2024,ECoR,All Classes,13604218,8496164405,624.5242766525143,1453681307,0.1710985378290371
85,2024,NR,All Classes,27827452,12925528551,464.4883962543373,1836266794,0.1420651222662633
86,2024,NCR,All Classes,22376483,5804739828,259.4125193362194,2570559615,0.4428380411118072
87,2024,NER,All Classes,13793336,4726276069,342.6492380064958,1440468784,0.3047788073898707
88,2024,NFR,All Classes,14021374,2012177931,143.5078995759751,1372895982,0.6822935289312976
89,2024,NWR,All Classes,10810169,5087544566,470.6258122532602,575371102,0.113094066206381
90,2024,SCR,All Classes,10673248,3839517662,359.7328257040125,1260480111,0.3282912651548883
91,2024,SECR,All Classes,31078009,15383183837,494.9861439692339,3454681046,0.2245751648405043
92,2024,SER,All Classes,18976467,8554942773,450.8185202834817,1314245770,0.1536241451111826
93,2024,SWR,All Classes,22884913,5997588198,262.0760759820392,1612530219,0.2688631105876512
94,2024,SR,All Classes,14509837,3598353943,247.9940983249476,1170745138,0.3253557477478677
95,2024,WCR,All Classes,33571649,9679590429,288.3263324241033,2322000256,0.2398862093275696
96,2024,WR,All Classes,48830743,23601511322,483.3330371892815,2412724376,0.1022275371709006
