Route_ID,Train_ID,Source_Station,Destination_Station,Distance_KM,Zone,Route_Type,Number_of_Stations
1,1,CR01,CR06,287,CR,Regional,20
2,2,CR04,ER01,2071,ER,Intercity,18
3,3,CR07,ER04,1301,ECR,Intercity,18
4,4,ER02,ER07,1903,ECoR,Intercity,24
5,5,ER05,EC02,1240,NR,Intercity,28
6,6,ER08,EC05,1573,NCR,Intercity,18
7,7,EC03,EC08,1125,NER,Intercity,8
8,8,EC06,EC03,228,NFR,Regional,16
9,9,EC01,EC06,463,NWR,Regional,11
10,10,EC04,NR01,2332,SCR,Intercity,18
11,11,EC07,NR04,1842,SECR,Intercity,20
12,12,NR02,NR07,181,SER,Regional,19
13,13,NR05,NC02,2220,SWR,Intercity,20
14,14,NR08,NC05,835,SR,Intercity,13
15,15,NC03,NC08,1925,WCR,Intercity,9
16,16,NC06,NE03,1183,WR,Intercity,27
17,17,NE01,NE06,2261,CR,Intercity,15
18,18,NE04,NF01,1704,ER,Intercity,10
19,19,NE07,NF04,1089,ECR,Intercity,30
20,20,NF02,NF07,748,ECoR,Intercity,5
21,21,NF05,NW02,2011,NR,Intercity,14
22,22,NF08,NW05,1905,NCR,Intercity,24
23,23,NW03,NW08,722,NER,Intercity,15
24,24,NW06,SC03,1399,NFR,Intercity,26
25,25,SC01,SC06,1099,NWR,Intercity,14
26,26,SC04,SE01,1391,SCR,Intercity,21
27,27,SC07,SE04,1391,SECR,Intercity,16
28,28,SE02,SE07,785,SER,Intercity,17
29,29,SE05,SE02,2359,SWR,Intercity,17
30,30,SE08,SE05,2059,SR,Intercity,30
31,31,SE03,SE08,2065,WCR,Intercity,24
32,32,SE06,SW03,1615,WR,Intercity,14
33,33,SW01,SW06,2390,CR,Intercity,15
34,34,SW04,SR01,1968,ER,Intercity,15
35,35,SW07,SR04,326,ECR,Regional,24
36,36,SR02,SR07,1151,ECoR,Intercity,20
37,37,SR05,WC02,2256,NR,Intercity,18
38,38,SR08,WC05,1115,NCR,Intercity,16
39,39,WC03,WC08,1666,NER,Intercity,15
40,40,WC06,WR03,283,NFR,Regional,19
41,41,WR01,WR06,929,NWR,Intercity,26
42,42,WR04,CR01,696,SCR,Intercity,30
43,43,WR07,CR04,685,SECR,Intercity,6
44,44,CR02,CR07,711,SER,Intercity,11
45,45,CR05,ER02,375,SWR,Regional,22
46,46,CR08,ER05,789,SR,Intercity,8
47,47,ER03,ER08,1154,WCR,Intercity,20
48,48,ER06,EC03,1749,WR,Intercity,16
49,49,EC01,EC06,405,CR,Regional,9
50,50,EC04,EC01,275,ER,Regional,18
51,51,EC07,EC04,496,ECR,Regional,18
52,52,EC02,EC07,415,ECoR,Regional,23
53,53,EC05,NR02,1920,NR,Intercity,26
54,54,EC08,NR05,1428,NCR,Intercity,29
55,55,NR03,NR08,763,NER,Intercity,16
56,56,NR06,NC03,1198,NFR,Intercity,22
57,57,NC01,NC06,719,NWR,Intercity,25
58,58,NC04,NE01,2255,SCR,Intercity,30
59,59,NC07,NE04,1953,SECR,Intercity,21
60,60,NE02,NE07,1287,SER,Intercity,11
61,61,NE05,NF02,923,SWR,Intercity,13
62,62,NE08,NF05,405,SR,Regional,10
63,63,NF03,NF08,1625,WCR,Intercity,10
64,64,NF06,NW03,1609,WR,Intercity,12
65,65,NW01,NW06,823,CR,Intercity,17
66,66,NW04,SC01,614,ER,Intercity,25
