Schedule_ID,Train_ID,Train_Number,Station_Code,Station_Name,Arrival_Time,Departure_Time,Halt_Minutes,Day_Number,Distance_From_Source,Sequence_Number
1,1,12001,CR01,Mumbai Junction 1,00:00,00:04,13,1,404,1
2,2,12002,CR08,Mumbai Junction 8,03:11,03:15,8,2,944,2
3,3,12003,ER07,Kolkata Junction 7,06:22,06:28,6,3,649,3
4,4,12004,EC06,Hajipur Junction 6,09:33,09:47,10,4,2023,4
5,5,12005,EC05,Bhubaneswar Junction 5,12:44,12:59,11,5,1816,5
6,6,12006,NR04,New Delhi Junction 4,15:55,15:58,15,6,1060,6
7,7,12007,NC03,Prayagraj Junction 3,18:06,18:17,5,7,210,7
8,8,12008,NE02,Gorakhpur Junction 2,21:17,21:31,8,1,304,8
9,9,12009,NF01,Guwahati Junction 1,00:28,00:39,2,2,991,9
10,10,12010,NF08,Guwahati Junction 8,03:39,03:50,12,3,997,10
11,11,12011,NW07,Jaipur Junction 7,06:50,06:57,13,4,406,11
12,12,12012,SC06,Secunderabad Junction 6,09:01,09:04,4,5,1762,12
13,13,12013,SE05,Bilaspur Junction 5,12:12,12:20,2,6,371,13
14,14,12014,SE04,Kolkata Junction 4,15:23,15:25,13,7,1014,14
15,15,12015,SW03,Hubballi Junction 3,18:34,18:36,5,1,1356,15
16,16,12016,SR02,Chennai Junction 2,21:45,21:55,13,2,56,16
17,17,12017,WC01,Jabalpur Junction 1,00:56,00:58,2,3,866,17
18,18,12018,WC08,Jabalpur Junction 8,03:07,03:19,11,4,462,18
19,19,12019,WR07,Mumbai Junction 7,06:18,06:29,11,5,421,19
20,20,12020,CR06,Mumbai Junction 6,09:29,09:41,7,6,130,20
21,21,12021,ER05,Kolkata Junction 5,12:40,12:47,12,7,1531,21
22,22,12022,EC04,Hajipur Junction 4,15:51,15:56,12,1,857,22
23,23,12023,EC03,Bhubaneswar Junction 3,18:02,18:10,3,2,2193,23
24,24,12024,NR02,New Delhi Junction 2,21:13,21:26,4,3,1233,24
25,25,12025,NC01,Prayagraj Junction 1,00:24,00:36,9,4,463,25
26,26,12026,NC08,Prayagraj Junction 8,03:35,03:50,5,5,735,26
27,27,12027,NE07,Gorakhpur Junction 7,06:46,06:53,14,6,1100,27
28,28,12028,NF06,Guwahati Junction 6,09:57,09:09,14,7,2042,28
29,29,12029,NW05,Jaipur Junction 5,12:08,12:21,14,1,2086,29
30,30,12030,SC04,Secunderabad Junction 4,15:19,15:34,11,2,289,30
31,31,12031,SE03,Bilaspur Junction 3,18:30,18:33,13,3,695,1
32,32,12032,SE02,Kolkata Junction 2,21:41,21:54,15,4,1417,2
33,33,12033,SW01,Hubballi Junction 1,00:52,00:04,5,5,955,3
34,34,12034,SW08,Hubballi Junction 8,03:03,03:18,13,6,449,4
35,35,12035,SR07,Chennai Junction 7,06:14,06:29,8,7,1856,5
36,36,12036,WC06,Jabalpur Junction 6,09:25,09:34,10,1,356,6
37,37,12037,WR05,Mumbai Junction 5,12:36,12:42,12,2,1853,7
38,38,12038,CR04,Mumbai Junction 4,15:47,15:50,3,3,1524,8
39,39,12039,ER03,Kolkata Junction 3,18:58,18:06,13,4,150,9
40,40,12040,EC02,Hajipur Junction 2,21:09,21:15,2,5,1560,10
41,41,12041,EC01,Bhubaneswar Junction 1,00:20,00:34,4,6,712,11
42,42,12042,EC08,Bhubaneswar Junction 8,03:31,03:44,2,7,2094,12
43,43,12043,NR07,New Delhi Junction 7,06:42,06:56,4,1,305,13
44,44,12044,NC06,Prayagraj Junction 6,09:53,09:04,2,2,1112,14
45,45,12045,NE05,Gorakhpur Junction 5,12:04,12:06,9,3,770,15
46,46,12046,NF04,Guwahati Junction 4,15:15,15:26,14,4,1075,16
47,47,12047,NW03,Jaipur Junction 3,18:26,18:36,10,5,2166,17
48,48,12048,SC02,Secunderabad Junction 2,21:37,21:42,5,6,832,18
49,49,12049,SE01,Bilaspur Junction 1,00:48,00:00,14,7,611,19
50,50,12050,SE08,Bilaspur Junction 8,03:59,03:02,10,1,1314,20
51,51,12051,SE07,Kolkata Junction 7,06:10,06:17,4,2,1869,21
52,52,12052,SW06,Hubballi Junction 6,09:21,09:34,12,3,1273,22
53,53,12053,SR05,Chennai Junction 5,12:32,12:37,7,4,150,23
54,54,12054,WC04,Jabalpur Junction 4,15:43,15:48,8,5,961,24
55,55,12055,WR03,Mumbai Junction 3,18:54,18:57,15,6,590,25
56,56,12056,CR02,Mumbai Junction 2,21:05,21:14,8,7,1032,26
57,57,12057,ER01,Kolkata Junction 1,00:16,00:29,12,1,1908,27
58,58,12058,ER08,Kolkata Junction 8,03:27,03:34,5,2,940,28
59,59,12059,EC07,Hajipur Junction 7,06:38,06:47,6,3,1012,29
60,60,12060,EC06,Bhubaneswar Junction 6,09:49,09:53,10,4,1570,30
61,61,12061,NR05,New Delhi Junction 5,12:00,12:09,14,5,2190,1
62,62,12062,NC04,Prayagraj Junction 4,15:11,15:25,3,6,1937,2
63,63,12063,NE03,Gorakhpur Junction 3,18:22,18:28,8,7,906,3
64,64,12064,NF02,Guwahati Junction 2,21:33,21:38,14,1,1403,4
65,65,12065,NW01,Jaipur Junction 1,00:44,00:59,15,2,923,5
66,66,12066,NW08,Jaipur Junction 8,03:55,03:07,9,3,1088,6
67,67,12067,SC07,Secunderabad Junction 7,06:06,06:18,11,4,2005,7
68,68,12068,SE06,Bilaspur Junction 6,09:17,09:29,10,5,2022,8
69,69,12069,SE05,Kolkata Junction 5,12:28,12:31,12,6,863,9
70,70,12070,SW04,Hubballi Junction 4,15:39,15:47,12,7,601,10
71,71,12071,SR03,Chennai Junction 3,18:50,18:04,8,1,767,11
72,72,12072,WC02,Jabalpur Junction 2,21:01,21:07,7,2,2074,12
73,73,12073,WR01,Mumbai Junction 1,00:12,00:15,9,3,1837,13
74,74,12074,WR08,Mumbai Junction 8,03:23,03:31,9,4,766,14
75,75,12075,CR07,Mumbai Junction 7,06:34,06:37,10,5,2023,15
76,76,12076,ER06,Kolkata Junction 6,09:45,09:54,8,6,283,16
77,77,12077,EC05,Hajipur Junction 5,12:56,12:11,14,7,1984,17
78,78,12078,EC04,Bhubaneswar Junction 4,15:07,15:14,10,1,951,18
79,79,12079,NR03,New Delhi Junction 3,18:18,18:23,4,2,844,19
80,80,12080,NC02,Prayagraj Junction 2,21:29,21:38,3,3,1544,20
81,81,12081,NE01,Gorakhpur Junction 1,00:40,00:48,14,4,613,21
82,82,12082,NE08,Gorakhpur Junction 8,03:51,03:53,6,5,2141,22
83,83,12083,NF07,Guwahati Junction 7,06:02,06:08,11,6,1855,23
84,84,12084,NW06,Jaipur Junction 6,09:13,09:18,10,7,449,24
85,85,12085,SC05,Secunderabad Junction 5,12:24,12:31,6,1,1479,25
86,86,12086,SE04,Bilaspur Junction 4,15:35,15:49,5,2,641,26
87,87,12087,SE03,Kolkata Junction 3,18:46,18:59,8,3,1128,27
88,88,12088,SW02,Hubballi Junction 2,21:57,21:08,3,4,1918,28
89,89,12089,SR01,Chennai Junction 1,00:08,00:15,11,5,950,29
90,90,12090,SR08,Chennai Junction 8,03:19,03:31,10,6,381,30
91,91,12091,WC07,Jabalpur Junction 7,06:30,06:34,14,7,1143,1
92,92,12092,WR06,Mumbai Junction 6,09:41,09:46,4,1,282,2
93,93,12093,CR05,Mumbai Junction 5,12:52,12:06,15,2,865,3
94,94,12094,ER04,Kolkata Junction 4,15:03,15:07,7,3,300,4
95,95,12095,EC03,Hajipur Junction 3,18:14,18:23,10,4,2167,5
96,96,12096,EC02,Bhubaneswar Junction 2,21:25,21:31,4,5,293,6
97,97,12097,NR01,New Delhi Junction 1,00:36,00:43,10,6,146,7
98,98,12098,NR08,New Delhi Junction 8,03:47,03:59,8,7,1745,8
99,99,12099,NC07,Prayagraj Junction 7,06:58,06:06,4,1,47,9
100,100,12100,NE06,Gorakhpur Junction 6,09:09,09:18,9,2,1790,10
101,101,12101,NF05,Guwahati Junction 5,12:20,12:34,4,3,692,11
102,102,12102,NW04,Jaipur Junction 4,15:31,15:35,3,4,5,12
103,103,12103,SC03,Secunderabad Junction 3,18:42,18:45,9,5,334,13
104,104,12104,SE02,Bilaspur Junction 2,21:53,21:57,3,6,1593,14
105,105,12105,SE01,Kolkata Junction 1,00:04,00:14,15,7,245,15
106,106,12106,SE08,Kolkata Junction 8,03:15,03:19,8,1,1428,16
107,107,12107,SW07,Hubballi Junction 7,06:26,06:29,4,2,927,17
108,108,12108,SR06,Chennai Junction 6,09:37,09:39,7,3,1668,18
