Zone_Performance_ID,Year,Zone,Passengers,Passenger_KM,Passenger_Revenue,Freight_Revenue,Total_Revenue,Revenue_Per_Passenger
1,2019,CR,32482181,10915195637,3737741290,26106000000,29843741290,918.7727046407384
2,2019,ER,37685241,15470153812,4456648583,7849000000,12305648583,326.5376114484713
3,2019,ECR,23815191,13647988953,1956051176,15048000000,17004051176,714.0002016360062
4,2019,ECoR,44232826,9872697033,3099731716,13328000000,16427731716,371.392316556939
5,2019,NR,14914502,3875919930,868457626,29744000000,30612457626,2052.529653755787
6,2019,NCR,12852089,5138781005,1150107947,23845000000,24995107947,1944.828420266931
7,2019,NER,29023574,17552011731,2645164010,7026000000,9671164010,333.2175427464584
8,2019,NFR,36637025,9074210308,1835538080,10186000000,12021538080,328.1253890019727
9,2019,NWR,17003331,4417314262,1288124740,22999000000,24287124740,1428.374519086878
10,2019,SCR,15407072,5758497913,1759500754,13001000000,14760500754,958.0341257573144
11,2019,SECR,34057819,8851381499,2041964078,24781000000,26822964078,787.5713966886723
12,2019,SER,30341782,10260556567,3235470227,22105000000,25340470227,835.1675002806361
13,2019,SWR,18206169,2310055775,1159849462,20083000000,21242849462,1166.794038987554
14,2019,SR,17444187,5580940319,1568808516,6400000000,7968808516,456.8174209551869
15,2019,WCR,19607046,3892698954,1000226555,22641000000,23641226555,1205.751572929446
16,2019,WR,32807944,9252379546,2375254854,11020000000,13395254854,408.2930297003677
17,2020,CR,33745822,6928870908,2822989835,22357000000,25179989835,746.1661427302023
18,2020,ER,36951150,22388527567,1674102733,18734000000,20408102733,552.299528783272
19,2020,ECR,11445242,2290905339,1298683132,18482000000,19780683132,1728.288762439449
20,2020,ECoR,37926881,14596184034,2153857182,16204000000,18357857182,484.0328732014636
21,2020,NR,39303219,23055987144,3952201879,21538000000,25490201879,648.5525238785149
22,2020,NCR,17119207,2345014724,1826215235,26119000000,27945215235,1632.389586445213
23,2020,NER,21447939,7232673459,2244295178,13749000000,15993295178,745.6798146432625
24,2020,NFR,29278184,10866209076,3166847228,29695000000,32861847228,1122.400461312764
